year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,منطقة نجران,الصناعة,كبيرة,1,344,326,18,423,423,0
2023,1,منطقة نجران,الصناعة,متناهية الصغر,77,13,7,6,203,203,0
2023,1,منطقة نجران,الصناعة,متوسطة,25,526,289,237,1809,1804,5
2023,1,المنطقة الشرقية,الصناعة,صغيرة,66,276,177,99,1012,1011,1
2023,1,المنطقة الشرقية,الصناعة,كبيرة,3,423,404,19,885,885,0
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,53,36,15,21,117,117,0
2023,1,المنطقة الشرقية,الصناعة,متوسطة,36,1051,783,268,2635,2629,6
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,2,0,0,0,5,5,0
2023,1,منطقة الجوف,الصناعة,صغيرة,2,15,8,7,31,31,0
2023,1,منطقة الجوف,الصناعة,كبيرة,1,118,82,36,382,382,0
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,14,2,1,1,37,37,0
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,1,3,1,2,6,6,0
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,1,0,0,0,1,1,0
2023,1,منطقة الرياض,الصناعة,صغيرة,144,668,283,385,2598,2583,15
2023,1,منطقة الرياض,الصناعة,كبيرة,10,926,462,464,3184,3179,5
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,221,74,35,39,546,537,9
2023,1,منطقة الرياض,الصناعة,متوسطة,93,2553,1325,1228,7828,7816,12
2023,1,منطقة القصيم,الصناعة,صغيرة,4,21,7,14,61,61,0
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,18,6,1,5,31,30,1
2023,1,منطقة القصيم,الصناعة,متوسطة,8,255,160,95,654,653,1
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,25,130,68,62,511,511,0
2023,1,منطقة المدينة المنورة,الصناعة,كبيرة,1,127,63,64,333,333,0
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,22,11,5,6,31,31,0
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,8,232,144,88,681,677,4
2023,1,منطقة تبوك,الصناعة,صغيرة,7,30,16,14,98,98,0
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,4,3,1,2,8,8,0
2023,1,منطقة تبوك,الصناعة,متوسطة,1,20,12,8,77,77,0
2023,1,منطقة جازان,الصناعة,صغيرة,1,2,1,1,8,8,0
2023,1,منطقة جازان,الصناعة,متناهية الصغر,8,1,1,0,27,27,0
2023,1,منطقة حائل,الصناعة,صغيرة,3,19,10,9,55,55,0
2023,1,منطقة حائل,الصناعة,متناهية الصغر,5,0,0,0,11,11,0
2023,1,منطقة حائل,الصناعة,متوسطة,2,109,83,26,149,149,0
2023,1,منطقة عسير,الصناعة,صغيرة,7,22,11,11,85,85,0
2023,1,منطقة عسير,الصناعة,متناهية الصغر,25,9,4,5,50,50,0
2023,1,منطقة عسير,الصناعة,متوسطة,4,80,45,35,237,237,0
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,86,446,231,215,1561,1551,10
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,12,1419,1072,347,3148,3134,14
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,77,33,23,10,169,168,1
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,34,852,407,445,2976,2973,3
2023,1,منطقة نجران,الصناعة,صغيرة,3,19,10,9,66,66,0
2023,1,منطقة نجران,الصناعة,متناهية الصغر,11,4,3,1,33,33,0
2023,1,منطقة نجران,الصناعة,متوسطة,3,53,18,35,244,244,0
2023,1,المنطقة الشرقية,الصناعة,صغيرة,26,145,93,52,467,467,0
2023,1,المنطقة الشرقية,الصناعة,كبيرة,8,4165,4105,60,1618,1617,1
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,11,8,4,4,18,17,1
2023,1,المنطقة الشرقية,الصناعة,متوسطة,7,523,506,17,633,633,0
2023,1,منطقة الرياض,الصناعة,صغيرة,33,193,114,79,428,425,3
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,38,33,19,14,60,59,1
2023,1,منطقة الرياض,الصناعة,متوسطة,5,163,112,51,346,346,0
2023,1,منطقة القصيم,الصناعة,صغيرة,4,27,24,3,77,77,0
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,3,1,1,0,7,7,0
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,2,16,15,1,34,34,0
2023,1,منطقة المدينة المنورة,الصناعة,كبيرة,4,2073,2008,65,498,498,0
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,5,5,3,2,9,9,0
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,4,203,199,4,464,464,0
2023,1,منطقة تبوك,الصناعة,صغيرة,1,3,3,0,8,8,0
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,1,1,0,1,0,0,0
2023,1,منطقة جازان,الصناعة,كبيرة,1,236,228,8,63,59,4
2023,1,منطقة جازان,الصناعة,متناهية الصغر,2,1,1,0,3,3,0
2023,1,منطقة حائل,الصناعة,متناهية الصغر,1,0,0,0,3,3,0
2023,1,منطقة عسير,الصناعة,صغيرة,1,6,3,3,19,19,0
2023,1,منطقة عسير,الصناعة,متوسطة,1,16,9,7,46,46,0
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,19,100,58,42,259,257,2
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,4,3156,3055,101,1479,1464,15
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,18,13,9,4,30,29,1
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,5,146,127,19,176,175,1
2023,1,المنطقة الشرقية,الصناعة,صغيرة,51,297,154,143,941,938,3
2023,1,المنطقة الشرقية,الصناعة,كبيرة,7,723,559,164,1726,1722,4
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,46,27,10,17,98,97,1
2023,1,المنطقة الشرقية,الصناعة,متوسطة,23,742,483,259,1827,1821,6
2023,1,منطقة الجوف,الصناعة,صغيرة,1,2,2,0,9,9,0
